V3_gene	V4_gene	Sequence_change_or_not_in_two_versions	Method	Type
GRMZM2G044359	Zm00001d017079	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G044368	Zm00001d038709	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-many
GRMZM2G044372	Zm00001d023362	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G044377	Zm00001d023417	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G044382	Zm00001d025548	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G044383	Zm00001d029708	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G044388	Zm00001d027362	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G044394	Zm00001d023418	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G044398	Zm00001d036560	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G044408	Zm00001d017932	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-many
GRMZM2G044423	Zm00001d023419	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G044438	Zm00001d007335	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G044440	8:107212613-107214575	No_sequence_change_in_v4	CrossMap/Mummer	1-to-0
GRMZM2G044442	Zm00001d037626	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G044448	Zm00001d044594	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G044457	Zm00001d038536	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G044460	Zm00001d042341	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G044469	Zm00001d018869	No_change_in_genomic_sequence	Direct_mapping	1-to-many
GRMZM2G044472	Zm00001d005383	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G044481	Zm00001d029648	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G044493	Zm00001d004908	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G044495	Zm00001d017604	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G044498	Zm00001d018868	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G044503	Zm00001d041083	No_change_in_genomic_sequence	Direct_mapping	1-to-many
GRMZM2G044512	Zm00001d038537	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G044527	Zm00001d018867	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G044531	Zm00001d009940	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G044537	Zm00001d051460	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G044548	2:40872550-40874268	No_sequence_change_in_v4	CrossMap/Mummer	1-to-0
GRMZM2G044550	Zm00001d033025	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G044552	Zm00001d039899	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G044553	Zm00001d008380	No_change_in_genomic_sequence	Direct_mapping	1-to-many
GRMZM2G044557	Zm00001d033655	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G044569	Zm00001d033780	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G044576	Zm00001d012757	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G044581	Zm00001d042343	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G044584	Zm00001d042510	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G044591	Zm00001d009709	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G044625	Zm00001d048809	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G044627	Zm00001d051459	No_change_in_genomic_sequence	Direct_mapping	1-to-1
GRMZM2G044629	Zm00001d002338	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G044636	Zm00001d008381	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G044659	4:7633911-7634748	No_sequence_change_in_v4	CrossMap	1-to-0
GRMZM2G044670	Zm00001d052130	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G044677	Zm00001d051048	No_change_in_genomic_sequence	Direct_mapping	1-to-many
GRMZM2G044681	Zm00001d003713	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G044684	Zm00001d051062	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G044697	Zm00001d039900	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G044720	Zm00001d019576	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G044724	Zm00001d041343	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G044733	Zm00001d053173	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G044736	Zm00001d023349	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-many
GRMZM2G044740	Zm00001d033027	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G044744	Zm00001d010821	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G044752	Zm00001d002754	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G044762	Zm00001d033421	No_change_in_genomic_sequence	Direct_mapping	1-to-1
GRMZM2G044771	Zm00001d010819	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G044773	Zm00001d050798	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G044775	Zm00001d010452	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G044788	Zm00001d016651	No_change_in_genomic_sequence	Direct_mapping	1-to-1
GRMZM2G044797	Zm00001d010818	No_change_in_genomic_sequence	Direct_mapping	1-to-1
GRMZM2G044800	Zm00001d002339	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G044805	Zm00001d046552	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G044818	4:64215121-64215756	No_sequence_change_in_v4	CrossMap/Mummer	1-to-0
GRMZM2G044819	Zm00001d008363	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G044822	Zm00001d021289	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G044824	Zm00001d045560	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G044829	4:214747453-214750499	No_sequence_change_in_v4	CrossMap/Mummer	1-to-0
GRMZM2G044832	Zm00001d050234	No_change_in_genomic_sequence	Direct_mapping	1-to-1
GRMZM2G044834	Zm00001d051562	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G044848	Zm00001d053525	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G044851	Zm00001d017666	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G044856	Zm00001d042060	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G044858	Zm00001d047395	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G044862	Zm00001d052353	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G044864	Zm00001d037844	No_change_in_genomic_sequence	Direct_mapping	1-to-many
GRMZM2G044866	Zm00001d010816	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G044867	3:149258035-149258421	No_sequence_change_in_v4	CrossMap/Mummer	1-to-0
GRMZM2G044882	Zm00001d051110	No_change_in_genomic_sequence	Direct_mapping	1-to-1
GRMZM2G044884	Zm00001d002753	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G044898	Zm00001d033781	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G044900	Zm00001d013745	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G044902	Zm00001d029601	No_change_in_genomic_sequence	Direct_mapping	many-to-1
GRMZM2G044902	Zm00001d029602	No_change_in_genomic_sequence	Direct_mapping	many-to-1
GRMZM2G044908	Zm00001d029650	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G044947	Zm00001d010451	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G044963	Zm00001d008278	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G044968	Zm00001d020986	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G044989	Zm00001d003266	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G044992	Zm00001d032511	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G044997	Zm00001d009879	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G045005	Zm00001d003291	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G045027	Zm00001d032510	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G045030	Zm00001d007615	No_change_in_genomic_sequence	Direct_mapping	1-to-1
GRMZM2G045031	Zm00001d018683	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G045039	Zm00001d022383	No_change_in_genomic_sequence	Direct_mapping	1-to-many
GRMZM2G045049	Zm00001d002003	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G045057	Zm00001d053004	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G045064	Zm00001d007614	No_change_in_genomic_sequence	Direct_mapping	1-to-1
GRMZM2G045067	Zm00001d029651	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G045070	Zm00001d003265	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G045082	Zm00001d032448	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G045084	Zm00001d047824	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G045090	Zm00001d029652	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G045096	Zm00001d007613	No_change_in_genomic_sequence	Direct_mapping	1-to-1
GRMZM2G045102	Zm00001d047827	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G045106	Zm00001d007612	No_change_in_genomic_sequence	Direct_mapping	1-to-1
GRMZM2G045109	Zm00001d046096	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G045117	Zm00001d003264	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G045128	Zm00001d043305	No_change_in_genomic_sequence	Direct_mapping	1-to-many
GRMZM2G045135	Zm00001d031705	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G045154	Zm00001d017706	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G045155	Zm00001d022084	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G045171	Zm00001d051837	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G045178	Zm00001d047470	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-many
GRMZM2G045185	Zm00001d003773	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G045188	Zm00001d016683	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G045192	Zm00001d013755	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G045215	Zm00001d043458	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G045226	Zm00001d051592	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G045227	Zm00001d018509	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-many
GRMZM2G045236	Zm00001d038189	No_change_in_genomic_sequence	Direct_mapping	1-to-many
GRMZM2G045239	Zm00001d012383	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G045241	Zm00001d034834	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G045243	Zm00001d005802	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G045249	Zm00001d043012	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G045257	Zm00001d048420	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G045259	Zm00001d039409	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G045268	Zm00001d044233	No_change_in_genomic_sequence	Direct_mapping	1-to-1
GRMZM2G045270	Zm00001d011536	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G045275	Zm00001d044232	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G045278	Zm00001d012382	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G045280	Zm00001d025460	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G045286	Zm00001d018511	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G045287	Zm00001d022085	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G045294	Zm00001d051836	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G045303	Zm00001d049357	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G045314	Zm00001d033422	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G045318	Zm00001d044231	No_change_in_genomic_sequence	Direct_mapping	1-to-1
GRMZM2G045319	Zm00001d015721	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G045330	Zm00001d039407	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G045331	Zm00001d002340	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G045366	Zm00001d043459	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G045371	Zm00001d036758	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G045378	Zm00001d036841	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G045387	Zm00001d048810	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G045398	Zm00001d002568	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G045401	Zm00001d031706	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G045404	Zm00001d017863	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G045414	Zm00001d036559	No_change_in_genomic_sequence	Direct_mapping	1-to-1
GRMZM2G045421	Zm00001d011770	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G045431	Zm00001d020705	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G045433	Zm00001d042474	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G045435	Zm00001d041299	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G045452	Zm00001d004953	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G045462	Zm00001d013756	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G045467	Zm00001d047537	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G045473	Zm00001d004301	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G045503	Zm00001d031707	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G045507	Zm00001d024420	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G045518	Zm00001d047183	No_change_in_genomic_sequence	Direct_mapping	1-to-many
GRMZM2G045531	Zm00001d049993	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G045534	Zm00001d040603	No_change_in_genomic_sequence	Direct_mapping	1-to-many
GRMZM2G045544	Zm00001d017862	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G045550	Zm00001d043314	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-many
GRMZM2G045565	Zm00001d044230	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G045573	4:137487450-137488194	No_sequence_change_in_v4	CrossMap/Mummer	1-to-0
GRMZM2G045580	Zm00001d031710	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G045581	Zm00001d002341	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G045596	Zm00001d002342	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G045610	Zm00001d053384	No_change_in_genomic_sequence	Direct_mapping	1-to-many
GRMZM2G045645	Zm00001d019596	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G045650	6:89121045-89121854	No_sequence_change_in_v4	CrossMap	1-to-0
GRMZM2G045660	Zm00001d021608	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G045664	Zm00001d009700	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G045668	Zm00001d030573	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G045675	Zm00001d017583	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G045678	Zm00001d033325	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G045686	Zm00001d036940	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-many
GRMZM2G045688	Zm00001d032350	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G045690	Zm00001d013397	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G045699	Zm00001d032606	No_change_in_genomic_sequence	Direct_mapping	1-to-1
GRMZM2G045704	Zm00001d052586	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G045706	Zm00001d005391	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G045714	Zm00001d040981	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G045716	Zm00001d005708	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G045720	Zm00001d037868	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G045725	2:169752592-169756513	No_sequence_change_in_v4	CrossMap/Mummer	1-to-0
GRMZM2G045727	8:98556583-98557076	No_sequence_change_in_v4	CrossMap/Mummer	1-to-0
GRMZM2G045732	Zm00001d006568	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G045735	8:98561494-98561987	No_sequence_change_in_v4	CrossMap/Mummer	1-to-0
GRMZM2G045748	Zm00001d020457	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G045753	Zm00001d048970	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G045779	Zm00001d041955	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G045781	Zm00001d034678	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G045808	Zm00001d032565	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-many
GRMZM2G045809	Zm00001d004401	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G045816	3:87905391-87906014	No_sequence_change_in_v4	CrossMap/Mummer	1-to-0
GRMZM2G045818	Zm00001d009476	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G045820	Zm00001d003103	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G045834	Zm00001d019357	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G045844	Zm00001d025371	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G045849	Zm00001d002343	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G045854	Zm00001d050112	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G045883	Zm00001d018119	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G045892	Zm00001d038123	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G045921	Zm00001d034677	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G045927	Zm00001d018118	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G045941	Zm00001d013395	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G045944	Zm00001d050352	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	many-to-1
GRMZM2G045944	Zm00001d050353	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	many-to-1
GRMZM2G045955	Zm00001d013394	No_change_in_genomic_sequence	Direct_mapping	1-to-1
GRMZM2G045970	Zm00001d005035	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G045971	Zm00001d035610	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G045973	4:210595571-210597030	No_sequence_change_in_v4	CrossMap/Mummer	1-to-0
GRMZM2G045976	Zm00001d041608	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G045977	Zm00001d017602	No_change_in_genomic_sequence	Direct_mapping	1-to-1
GRMZM2G045979	Zm00001d027898	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G045981	Zm00001d048070	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G045987	Zm00001d049155	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G045999	Zm00001d033427	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G046002	Zm00001d012271	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G046005	Zm00001d031988	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G046009	4:210602925-210604381	No_sequence_change_in_v4	CrossMap/Mummer	1-to-0
GRMZM2G046011	Zm00001d006555	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G046021	Zm00001d014175	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G046024	Zm00001d053049	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G046025	Zm00001d012270	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G046037	Zm00001d011227	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G046055	Zm00001d013392	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G046058	Zm00001d017603	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G046059	Zm00001d053050	No_change_in_genomic_sequence	Direct_mapping	1-to-1
GRMZM2G046061	Zm00001d041609	No_change_in_genomic_sequence	Direct_mapping	1-to-1
GRMZM2G046065	Zm00001d041255	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G046070	Zm00001d002346	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G046076	Zm00001d033425	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G046086	Zm00001d027820	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G046088	Zm00001d041610	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G046092	Zm00001d044805	No_change_in_genomic_sequence	Direct_mapping	1-to-1
GRMZM2G046098	Zm00001d012269	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G046101	Zm00001d033423	No_change_in_genomic_sequence	Direct_mapping	1-to-1
GRMZM2G046111	Zm00001d052935	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G046117	Zm00001d016833	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G046155	Zm00001d015482	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G046163	Zm00001d034461	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G046186	Zm00001d021360	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G046191	Zm00001d034460	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G046201	Zm00001d004929	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G046231	Zm00001d034525	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-many
GRMZM2G046238	Zm00001d023740	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G046244	Zm00001d017772	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G046252	Zm00001d019667	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G046262	Zm00001d038466	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G046267	Zm00001d034526	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G046274	Zm00001d028558	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G046284	Zm00001d023559	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G046286	Zm00001d037851	No_change_in_genomic_sequence	Direct_mapping	1-to-1
GRMZM2G046288	Zm00001d018218	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G046290	Zm00001d008842	No_change_in_genomic_sequence	Direct_mapping	1-to-1
GRMZM2G046293	Zm00001d012459	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
